scrape_date,        hotel_name,       hotel_type,location,latitude,longitude,star_rating,overall_rating,reviews_count,link,property_token,neighborhood,check_in_time,check_out_time,price_per_night,price_per_night_highest,total_rate,price_display,price_highest_display,currency,before_taxes_fees,discount_percentage,taxes_fees,deal_description,is_refundable,free_wifi,breakfast_included,air_conditioning,pool,gym,parking,pet_friendly,restaurant,room_service,spa,bar,free_cancellation,airport_shuttle,eco_certified,total_amenities_count,all_amenities,images_count,hotel_chain,serpapi_link
2026-01-08 05:37:31,Khalifa Holiday's,vacation rental,,25.194549560546875,55.283199310302734,,,0,https://www.bluepillow.com/search/67cab536fa1a57d5a4b21eb2?dest=eps&cat=House&lat=25.19455&lng=55.2832&language=en,ChoQn6qNirm_5JiAARoNL2cvMTF5czYxanl5YxAC,,2:00 PM,11:30 AM,87,,,$87,,USD,$87,,,,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,9,"Kid-friendly, Fireplace, Free breakfast, Heating, Hot tub, Ironing board, Microwave, Wheelchair accessible, Free parking",9,,
2026-01-08 05:37:31,Rove Expo City,hotel,"Chic quarters in a contemporary hotel offering a 24/7 gym, an outdoor pool & breakfast.",24.9608392,55.149418499999996,,4.9,9689,https://www.rovehotels.com/en/hotels/rove-expo-2020/?utm_source=google&utm_medium=local-search&utm_campaign=googlemybusiness,ChoIwvjxsJHBuKb4ARoNL2cvMTFxbjVnbWhicxAB,,4:00 PM,2:00 PM,61,,,$61,,USD,$47,,,27% less than usual,False,True,True,True,True,True,True,False,True,True,False,True,False,True,True,14,"Breakfast ($), Free Wi-Fi, Free parking, Outdoor pool, Air conditioning, Fitness center, Bar, Restaurant, Room service, Airport shuttle, Full-service laundry, Accessible, Kid-friendly, Smoke-free property",9,,
2026-01-08 05:37:31,"Park Apartments Dubai, an Edge By Rotana Hotel",vacation rental,,25.221630096435547,55.32912826538086,,4.75,8,https://www.bluepillow.com/search/594397ec7c00cb0e643c7420?dest=bkng&cat=Apartment&lat=25.22163&lng=55.32913&language=en,ChoQqtX-mv-T1qa-ARoNL2cvMTF5c2gxZHBsahAC,,3:00 PM,12:00 PM,104,,,$104,,USD,$100,,,,False,True,False,True,True,True,True,False,False,False,False,False,False,True,False,16,"Air conditioning, Airport shuttle, Kid-friendly, Elevator, Fitness center, Ironing board, Kitchen, Microwave, Outdoor pool, Oven stove, Smoke-free, Cable TV, Washer, Wheelchair accessible, Free parking, Free Wi-Fi",9,,
2026-01-08 05:37:31,Atlantis - The Palm,hotel,"Luxury resort offering a water park & an aquarium, plus a spa & multiple upscale restaurants.",25.1304426,55.1171498,,4.7,101146,https://www.atlantis.com/atlantis-the-palm?utm_source=googleplaces&utm_medium=location&utm_campaign=atp&utm_content=listing,ChYIxZWB1JjIlsoFGgovbS8wMnI5aDBqEAE,,3:00 PM,12:00 PM,422,,,$422,,USD,$328,,,,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,18,"Breakfast ($), Free Wi-Fi, Free parking, Outdoor pool, Hot tub, Air conditioning, Fitness center, Spa, Beach access, Bar, Restaurant, Room service, Kitchen in some rooms, Airport shuttle, Full-service laundry, Accessible, Business center, Kid-friendly",9,,
2026-01-08 05:37:31,JW Marriott Marquis Hotel Dubai,hotel,"Refined high-rise hotel offering polished quarters, a nightclub & a spa, plus 14 restaurants & bars.",25.1854005,55.258087599999996,,4.6,21851,https://www.marriott.com/en-us/hotels/dxbjw-jw-marriott-marquis-hotel-dubai/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,ChUIrOmZudHNsKo4GgkvbS8wYnk3dDgQAQ,,3:00 PM,12:00 PM,207,,,$207,,USD,$171,,,,False,True,True,True,True,True,True,False,True,True,True,True,False,False,False,14,"Breakfast ($), Free Wi-Fi, Parking ($), Outdoor pool, Air conditioning, Fitness center, Spa, Bar, Restaurant, Room service, Kitchen in some rooms, Business center, Kid-friendly, Smoke-free property",9,,
2026-01-08 05:37:31,Kempinski Hotel Mall of the Emirates,hotel,"Chic quarters in a posh hotel with dining, bars & 2 infinity pools, plus a spa & ski or gulf views.",25.1187246,55.1975641,,4.8,13126,https://www.kempinski.com/en/mall-of-the-emirates?utm_medium=organic&utm_source=google&utm_campaign=KIDXB&utm_content=gmb&source=S308962248,ChYIwau8qvflwO0iGgovbS8wNGY1OGdkEAE,,3:00 PM,12:00 PM,235,,,$235,,USD,$188,,,28% less than usual,False,True,True,True,True,True,True,False,True,True,False,False,False,True,True,14,"Breakfast ($), Free Wi-Fi, Parking, Outdoor pool, Hot tub, Air conditioning, Fitness center, Restaurant, Room service, Kitchen in some rooms, Airport shuttle, Full-service laundry, Accessible, Kid-friendly",9,,
2026-01-08 05:37:31,Taj Jumeirah Lakes Towers,hotel,"Upmarket hotel offering polished restaurants & a rooftop pool, plus a 24-hour gym.",25.0804777,55.15419430000001,,4.5,2631,https://www.tajhotels.com/en-in/hotels/taj-jumeirah-lakes-towers?utm-medium=local&utm_source=google&utm_campaign=taj-jumeirah-lakes-towers,ChkIxuvgvIzpwu1tGg0vZy8xMWYwM3I2anlmEAE,,2:00 PM,12:00 PM,132,,,$132,,USD,$106,,,29% less than usual,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,15,"Breakfast ($), Free Wi-Fi, Free parking, Outdoor pool, Air conditioning, Fitness center, Spa, Bar, Restaurant, Room service, Airport shuttle, Full-service laundry, Accessible, Business center, Kid-friendly",9,,
2026-01-08 05:37:31,Swissôtel Al Ghurair,hotel,"Sleek hotel featuring a cafe, a restaurant & a lobby bar, plus a gym, a spa & an outdoor pool.",25.2693995,55.3170532,,4.8,16981,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=B1P8&merchantid=seo-maps-AE-B1P8&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,ChkIgdu__6_XjfR1Gg0vZy8xMXJ5OWh0MWZzEAE,,3:00 PM,12:00 PM,57,,,$57,,USD,$42,,,49% less than usual,False,True,True,True,True,True,True,False,True,True,True,False,False,True,False,16,"Breakfast ($), Free Wi-Fi, Free parking, Outdoor pool, Hot tub, Air conditioning, Fitness center, Spa, Restaurant, Room service, Kitchen in some rooms, Airport shuttle, Full-service laundry, Accessible, Business center, Kid-friendly",9,,
2026-01-08 05:37:31,Unique 2br with Infinity Pool view on Burj Khalifa,vacation rental,,25.19342803955078,55.265472412109375,,4.9,135,https://www.goodstaydubai.com/listings/199257?googleVR=1&utm_source=google&utm_medium=vacation_rentals,ChkQi47445Dy1ftRGg0vZy8xMXZoZ3ZkbTJ2EAI,,3:00 PM,11:00 AM,267,,,$267,,USD,$267,,,,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,12,"Air conditioning, Kid-friendly, Crib, Fitness center, Indoor pool, Kitchen, Microwave, Outdoor pool, Oven stove, Cable TV, Washer, Free parking",9,,
2026-01-08 05:37:31,Sofitel Dubai The Palm,hotel,"Refined quarters in a chic resort offering 11 restaurants & bars, 6 pools & a spa.",25.1399425,55.132408399999996,,4.8,24098,http://sofitel.accor.com/hotels/6541?merchantid=seo-maps-AE-6541&sourceid=aw-cen&utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps&utm_term=Sofitel-Launch,ChgI_OLJzsWu1YNmGgwvZy8xamdsX3E1Zl8QAQ,,3:00 PM,12:00 PM,346,,,$346,,USD,$294,,,,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,18,"Free breakfast, Free Wi-Fi, Free parking, Pools, Hot tub, Air conditioning, Fitness center, Spa, Beach access, Bar, Restaurant, Room service, Kitchen in some rooms, Airport shuttle, Full-service laundry, Accessible, Business center, Kid-friendly",9,,
